node,lon,lat,population,productivity,product,name
108,14.9436398,8.2232294,22.02815,10.41874,1,madingring - CMR
109,15.4863501,7.36901,0.001,0.001,1,
110,15.374228,10.280878,174.9329,2.483371,4,bongor - TCD
111,15.283194,-4.266136,2339.401,2.929015,17,brazzaville - COG
112,15.4050999,-3.89394,22.69998,20.81246,1,mingali - COG
113,14.5641098,4.4013901,0.001,0.001,1,
114,14.5942297,4.6947098,0.001,0.001,1,
115,14.8210993,10.1556597,105.8154,3.630505,4,guidiguis - CMR
116,14.825375,5.795872,33.8764,2.625184,1,baboua - CAF
117,15.1096897,3.9338698,30.11543,5.190445,1,gamboula - CAF
118,15.792011,4.261094,104.4744,1.61973,4,berberati - CAF
119,15.8485699,4.9169397,103.1208,1.127398,4,carnot - CAF
120,14.907253,9.36462,102.2487,1.782413,4,pala - TCD
121,15.731938,12.99809,54.80412,1.224615,2,massakory - TCD
122,15.0444393,12.3873701,0.001,0.001,1,
123,15.06721,12.126544,2136.601,2.319777,18,ndjamena - TCD
124,15.1236095,10.0114002,0.001,0.001,1,
125,15.17027,5.8000598,0.001,0.001,1,
126,15.09583,9.3775196,0.001,0.001,1,
127,15.1395493,9.9127693,56.31906,3.847193,2,fianga - TCD
128,15.4413595,12.4850397,32.53932,0.9925605,1,massaguet - TCD
129,15.5493994,10.9177799,31.40788,1.397285,1,guelendeng - TCD
130,15.5116692,9.6324301,44.78913,2.321695,1,gounou-gaya - TCD
131,15.806615,9.308491,126.4957,1.50921,4,kelo - TCD
132,15.2196093,2.96295,0.001,0.001,1,
133,15.7224398,9.9681501,0.001,0.001,1,
134,15.595828,5.933999,81.69937,1.577794,2,bouar - CAF
135,15.8188992,5.2572198,0.001,0.001,1,
136,16.051254,1.613441,47.97627,3.088828,1,ouesso - COG
137,16.3028488,3.8475299,10.64502,3.144386,1,basse-mambere - CAF
138,15.5388298,7.4776397,26.40797,9.864243,1,mbai mboum - CMR
139,15.6110096,7.7862897,11.86442,15.52308,1,laramanaye - TCD
140,15.5752592,10.5880795,12.6435,1.71967,1,moulkou i - TCD
141,16.4475193,12.87778,0.001,0.001,1,
142,15.6587,6.9447098,44.00635,1.072311,1,bokaranga - CAF
143,15.7946997,9.6247196,13.54962,5.231392,1,kim - TCD
144,15.6824598,7.7256999,16.29663,8.48742,1,baibokoum - TCD
