from,to,delta_i,delta_tau,Ijk,Il,Iu
40,74,2.508074,0.5119414,75.53468,75.53468,90.0
57,77,4.770056,0.6461401,67.14343,67.14343,90.0
57,78,4.58191,0.6628893,65.63219,65.63219,90.0
73,79,29.07365,0.5421405,89.26798,89.26798,90.0
75,80,1.843004,0.5334003,38.23544,38.23544,90.0
68,81,2.928327,0.4943717,63.57343,63.57343,90.0
71,82,1.128499,0.3973152,41.93468,41.93468,90.0
71,83,2.581488,0.5235652,34.88766,34.88766,90.0
74,84,0.7862406,0.418857,67.07835,67.07835,90.0
82,86,2.745061,0.5007241,41.76881,41.76881,90.0
82,87,2.871584,0.5137059,38.42841,38.42841,90.0
83,88,2.063178,0.5094412,43.26604,43.26604,90.0
83,89,2.083923,0.4791776,65.48016,65.48016,90.0
62,90,0.448918,0.3438583,55.06133,55.06133,90.0
85,90,0.6843908,0.4018419,58.05393,58.05393,90.0
85,91,1.062549,0.4810907,52.21333,52.21333,90.0
77,84,0.4555369,0.340501,66.43489,66.43489,90.0
80,88,2.559635,0.5337591,49.81228,49.81228,90.0
80,92,2.727755,0.5383529,66.32767,66.32767,90.0
80,93,5.087857,0.5898011,55.79869,55.79869,90.0
68,94,3.404002,0.5183867,51.53969,51.53969,90.0
81,94,1.768021,0.4630692,60.53,60.53,90.0
94,95,2.91043,0.5785908,18.89017,18.89017,90.0
90,96,1.994313,0.5392475,67.74679,67.74679,90.0
90,91,0.973586,0.4444453,69.68881,69.68881,90.0
88,97,0.9517675,0.4170484,59.06717,59.06717,90.0
81,86,1.436159,0.4570029,37.19224,37.19224,90.0
86,98,0.8731599,0.4000716,39.42212,39.42212,90.0
77,99,2.984746,0.6131581,64.72705,64.72705,90.0
81,98,1.320241,0.4045505,55.93836,55.93836,90.0
81,100,2.492909,0.5113726,37.17316,37.17316,90.0
89,101,1.129224,0.3964254,69.95606,69.95606,90.0
87,89,2.684027,0.5004993,65.77415,65.77415,90.0
89,102,1.76573,0.4953576,52.18645,52.18645,90.0
98,103,1.808608,0.455933,42.62272,42.62272,90.0
98,104,0.8399436,0.4591771,13.52009,13.52009,90.0
96,105,1.869888,0.5313861,55.84123,55.84123,90.0
96,106,1.158745,0.4658876,61.67063,61.67063,90.0
87,103,1.463505,0.4206258,61.18362,61.18362,90.0
103,104,2.180864,0.5161626,30.43295,30.43295,90.0
87,101,1.412017,0.4413208,61.54311,61.54311,90.0
101,107,0.9065555,0.4029468,49.44454,49.44454,90.0
97,102,1.838199,0.517393,48.36262,48.36262,90.0
97,108,1.639134,0.4987573,49.9161,49.9161,90.0
91,105,0.318305,0.3117803,55.98233,55.98233,90.0
92,106,1.583948,0.4801856,64.51177,64.51177,90.0
